account,amount,currency,title,note,date,income,category name
Supermoney,116,INR,Reverse,332+349,12-01-2026 08:21,TRUE,Bills & Fees
FlipkartAxis,37,INR,Cashback,,12-01-2026 07:50,TRUE,Bills & Fees
Supermoney,2120,INR,Internet,,12-01-2026 07:45,FALSE,Home
Supermoney,842,INR,Reliance smart bazar,181+141+237+134+149,12-01-2026 07:34,FALSE,Shopping
Supermoney,140,INR,Sweet,,11-01-2026 07:45,FALSE,Groceries
Supermoney,412,INR,Chicken,,10-01-2026 07:45,FALSE,Groceries
Supermoney,565,INR,Swiggy Instamart,,09-01-2026 07:44,FALSE,Groceries
Supermoney,220,INR,Egg,,09-01-2026 07:44,FALSE,Groceries
FlipkartAxis,609,INR,Flipkart grocery,328+281,09-01-2026 00:59,FALSE,Groceries
Supermoney,130,INR,Muri,,08-01-2026 07:43,FALSE,Groceries
Supermoney,152,INR,Zomato,,07-01-2026 07:43,FALSE,Food
Supermoney,104,INR,Grocery zepto,,07-01-2026 07:42,FALSE,Groceries
Supermoney,455,INR,Fish,,06-01-2026 07:38,FALSE,Groceries
FlipkartAxis,1650,INR,Nila fashion,,05-01-2026 07:49,FALSE,Shopping
Supermoney,151,INR,Chicken,,04-01-2026 07:34,FALSE,Groceries
Supermoney,142,INR,Reliance smart bazar,,04-01-2026 07:34,FALSE,Shopping
Supermoney,1188,INR,Nila fashion,,03-01-2026 07:34,FALSE,Shopping
Supermoney,681,INR,Reverse,332+349,02-01-2026 08:21,TRUE,Bills & Fees
Supermoney,7000,INR,Tanishq,,02-01-2026 08:20,FALSE,Shopping
IciciAmazon,12653,INR,,"Updated Total Balance
IciciAmazon: ₹0",02-01-2026 08:20,TRUE,Balance Correction
Supermoney,13605,INR,,"Updated Total Balance
Supermoney: ₹0",31-12-2025 07:48,TRUE,Balance Correction
Supermoney,219,INR,Sweet,,27-12-2025 07:47,FALSE,Groceries
Supermoney,1897,INR,Nila fashion,,26-12-2025 07:46,FALSE,Shopping
Supermoney,899,INR,Nila fashion,,26-12-2025 07:46,FALSE,Shopping
Supermoney,342,INR,Swiggy Instamart,,26-12-2025 07:46,FALSE,Groceries
Supermoney,134,INR,Chicken,,26-12-2025 07:45,FALSE,Groceries
Supermoney,349,INR,Biriyani,,25-12-2025 07:44,FALSE,Food
IciciAmazon,315,INR,Reverse,,25-12-2025 07:44,TRUE,Bills & Fees
Supermoney,5,INR,Reverse,,25-12-2025 07:44,TRUE,Bills & Fees
